"constituency_no","constituency","name","education","role","image_url"
"64","Kilpennathur","D. Raja","MBA","Kilpennathur South Union Secretary","https://d462xg1zgerhx.cloudfront.net/64.jpg"
"65","Kalasapakkam","P. Elumalai","BE","Party Administrator","https://d462xg1zgerhx.cloudfront.net/65a.jpg"
"66","Polur","R. Abishek","MS, MBA","Party Administrator","https://d462xg1zgerhx.cloudfront.net/66a.jpg"
"67","Arani","V. Venkatesh Kumar","M.Sc","Party Administrator","https://d462xg1zgerhx.cloudfront.net/67a.jpg"
"68","Cheyyar","Dusi K. Mohan","","Party Administrator","https://d462xg1zgerhx.cloudfront.net/68.jpg"
"69","Vandhavasi","M. Udayakumar","B.A., ITI","Tiruvannamalai East District Party Secretary","https://d462xg1zgerhx.cloudfront.net/69-1.jpg"
"70","Gingee","B. Chandrasekaran","M.Sc, B.Ed","District Deputy Party Secretary","https://d462xg1zgerhx.cloudfront.net/70.jpg"
"71","Mailam","A. Vijay Niranjan","B.E., MBA","Viluppuram North District Party Secretary","https://d462xg1zgerhx.cloudfront.net/71.jpg"
"72","Tindivanam","S. Sakthivel","D.EEE., B.E","Villupuram North-East District Party Secretary","https://d462xg1zgerhx.cloudfront.net/72.jpg"
"73","Vanur","G.P. Suresh","BBA","Villupuram East District Party Secretary","https://d462xg1zgerhx.cloudfront.net/73.jpg"
"74","Villupuram","N. Mohanraj","","Viluppuram South District Party Secretary","https://d462xg1zgerhx.cloudfront.net/74.jpg"
"75","Vikkiravandi","A. Vijay Vadivel","","Villupuram South-West District Party Secretary","https://d462xg1zgerhx.cloudfront.net/75.jpg"
"76","Tirukkoyilur","Vijay R. Bharanibalaji","BA, LLB","Kallakurichi East District Party Secretary","https://d462xg1zgerhx.cloudfront.net/76.jpg"
"77","Ulundurpet","M. Sudhakar","DCE","Union Secretary","https://d462xg1zgerhx.cloudfront.net/77.jpg"
"78","Rishivandiyam","G. Ashok Kumar","","North City Party Secretary","https://d462xg1zgerhx.cloudfront.net/78.jpg"
"79","Sangarapuram","A. Jagadesan","BFA., DFT., BA., LLB","Party Administrator","https://d462xg1zgerhx.cloudfront.net/79.jpg"
"80","Kallakurichi","C. Arulvignesh","M.Sc","District Student Wing Organizer","https://d462xg1zgerhx.cloudfront.net/80.jpg"
"81","Gangavalli","V. Sujatha","M.E., PhD","Salem North-West District Women’s Wing Organizer","https://d462xg1zgerhx.cloudfront.net/81.jpg"
"82","Attur","R. Selvabharathi","M.A., M.Phil., (English Lit.,), LL.B","Party Administrator","https://d462xg1zgerhx.cloudfront.net/82.jpg"
"83","Yercaud","J. Lakshmi","","Party Administrator","https://d462xg1zgerhx.cloudfront.net/83.jpg"
"84","Omalur","R.V. Adhiyamaan","","Party Administrator","https://d462xg1zgerhx.cloudfront.net/84.jpg"
"85","Mettur","K. Selvam","","Salem West District Party Secretary","https://d462xg1zgerhx.cloudfront.net/85.jpg"
"86","Edappadi","M. Arunkumar","BE","Party Administrator","https://d462xg1zgerhx.cloudfront.net/86-1.jpg"
"87","Sangagiri","K. Senthil Kumar","","Salem North-West District Party Secretary","https://d462xg1zgerhx.cloudfront.net/87.jpg"
"88","Salem West","S. Lakshmanan","B.Com D.Cop","Party Administrator","https://d462xg1zgerhx.cloudfront.net/88-1.jpg"
"89","Salem North","K. Sivakumar","MBA","Party Administrator","https://d462xg1zgerhx.cloudfront.net/89-1.jpg"
"90","Salem South","A. Vijay Tamilan Parthipan","","Salem Central District Party Secretary","https://d462xg1zgerhx.cloudfront.net/90.jpg"
"91","Veerapandi","M.S. Palanivel","","Party Administrator","https://d462xg1zgerhx.cloudfront.net/91.jpg"
"92","Rasipuram","D. Logesh Tamilselvan","","Party Administrator","https://d462xg1zgerhx.cloudfront.net/92.jpg"
"93","Senthamangalam","P. Chandrasekar","BA., BL","Party Administrator","https://d462xg1zgerhx.cloudfront.net/93.jpg"
"94","Namakkal","C.S. Dileep","BCom","Party Administrator","https://d462xg1zgerhx.cloudfront.net/94.jpg"
"95","Paramathi Velur","A. Nandakumar","MBA","Party Administrator","https://d462xg1zgerhx.cloudfront.net/95.jpg"
"96","Tiruchengode","K.G. Arunraj","MBBS., Ex.IRS","Party General Secretary for Policy Outreach","https://d462xg1zgerhx.cloudfront.net/96.jpg"
"97","Kumarapalayam","C. Vijayalakshmi","B.Com","Deputy General Secretary of the Party","https://d462xg1zgerhx.cloudfront.net/97.jpg"
"98","Erode East","M. Vijay Balaji","B.Com","Erode City District Party Secretary","https://d462xg1zgerhx.cloudfront.net/98-1.jpg"
"99","Erode West","K.K. Anand Mohan","MBA","Erode City District Youth Wing Organizer","https://d462xg1zgerhx.cloudfront.net/99.jpg"
"100","Modakkurichi","D. Sanmugan","BE","Party Administrator","https://d462xg1zgerhx.cloudfront.net/100.jpg"
"101","Dharapuram","S. Gowrichitra","","Party Administrator","https://d462xg1zgerhx.cloudfront.net/101.jpg"
"102","Kangayam","P. Mani","","Party Administrator","https://d462xg1zgerhx.cloudfront.net/102.jpg"
"103","Perundurai","V.P. Arunachalam","","Party Administrator","https://d462xg1zgerhx.cloudfront.net/103.jpg"
"104","Bhavani","M.P. Balakrishnan","","Party Administrator","https://d462xg1zgerhx.cloudfront.net/104.jpg"
"105","Anthiyur","M. Vijay Venkatesh","B.E","Erode East District Party Secretary","https://d462xg1zgerhx.cloudfront.net/105.jpg"
"106","Gobichettipalayam","K.A. Sengottaiyan","","Former Minister, Chief Coordinator, Executive Committee","https://d462xg1zgerhx.cloudfront.net/106(1).jpg"
"107","Bhavanisagar","V.P. Tamilselvi","MA., B.Lit","Party Administrator","https://d462xg1zgerhx.cloudfront.net/107.jpg"
"108","Udhagamandalam","R. Ibrahim","","District Executive Committee Member","https://d462xg1zgerhx.cloudfront.net/108.jpg"
"109","Gudalur","A. Deepak Sai Kishore","MA, LLB","Party Administrator","https://d462xg1zgerhx.cloudfront.net/109.jpg"
"110","Coonoor","C. Thangaraju","BSc BL","Party Administrator","https://d462xg1zgerhx.cloudfront.net/110.jpg"
"111","Mettupalayam","N. Sunil Anand","","Party Administrator","https://d462xg1zgerhx.cloudfront.net/111.jpg"
"112","Avanashi","S. Kamali","MA, B.Ed","Party Administrator","https://d462xg1zgerhx.cloudfront.net/112.jpg"
"113","Tiruppur North","V. Sathiyabama, Ex. MP","","Party Administrator","https://d462xg1zgerhx.cloudfront.net/113.jpg"
"114","Tiruppur South","S. Balamurugan","","Tiruppur City District Party Secretary","https://d462xg1zgerhx.cloudfront.net/114.jpg"
"115","Palladam","K. Ramkumar","","Tiruppur West District Deputy Party Secretary","https://d462xg1zgerhx.cloudfront.net/115.jpg"
"116","Sulur","N.M. Sukumar","","Party Administrator","https://d462xg1zgerhx.cloudfront.net/116.jpg"
"117","Kavundampalayam","R.D. Kanimozhi","B.A, BL(Hons), PhD","Party Administrator","https://d462xg1zgerhx.cloudfront.net/117.jpg"
"118","Coimbatore North","V. Sampathkumar","MBA","Coimbatore City District Party Secretary","https://d462xg1zgerhx.cloudfront.net/118.jpg"
"119","Thondamuthur","R. Sathish Raju","MCA","Party Administrator","https://d462xg1zgerhx.cloudfront.net/119.jpg"
"120","Coimbatore South","V. Senthilkumar","B.Com","Party Administrator","https://d462xg1zgerhx.cloudfront.net/120.jpg"
"121","Singanallur","K.S. Sri Giri Prasath","B.Sc. B.L.(Hons)","State Advocate Wing Deputy Coordinator","https://d462xg1zgerhx.cloudfront.net/121-1.jpg"
"122","Kinathukadavu","K. Vignesh","BSc","Coimbatore South District Party Secretary","https://d462xg1zgerhx.cloudfront.net/122.jpg"
